"@ampproject/remapping","2.2.1",
"jackspeak","2.3.6",
"jasmine-core","4.6.0",
"jest","24.9.0",
"jest-changed-files","24.9.0",
"jest-cli","24.9.0",
"jest-config","24.9.0",
"jest-diff","24.9.0",
"jest-docblock","24.9.0",
"jest-each","24.9.0",
"jest-environment-jsdom","24.9.0",
"jest-environment-node","24.9.0",
"jest-get-type","24.9.0",
"jest-haste-map","24.9.0",
"jest-jasmine2","24.9.0",
"jest-leak-detector","24.9.0",
"jest-matcher-utils","24.9.0",
"jest-message-util","24.9.0",
"jest-mock","24.9.0",
"jest-pnp-resolver","1.2.2",
"jest-regex-util","24.9.0",
"jest-resolve","24.9.0",
"jest-resolve-dependencies","24.9.0",
"jest-runner","24.9.0",
"jest-runtime","24.9.0",
"jest-serializer","24.9.0",
"jest-snapshot","24.9.0",
"jest-util","24.9.0",
"jest-validate","24.9.0",
"jest-watcher","24.9.0",
"jest-worker","24.9.0",
"jest-worker","27.5.1",
"jiti","1.21.0",
"joi","14.0.4",
"joi","14.3.1",
"js-tokens","4.0.0",
"js-tokens","4.0.0",
"js-yaml","3.14.1",
"js-yaml","3.14.1",
"js-yaml","4.1.0",
"js-yaml","4.1.0",
"jsbn","0.1.1",
"jsbn","0.1.1",
"jsdom","11.12.0",
"jsdom","16.7.0",
"jsesc","0.5.0",
"jsesc","2.5.2",
"jsesc","2.5.2",
"json-parse-better-errors","1.0.2",
"json-parse-even-better-errors","2.3.1",
"json-parse-even-better-errors","3.0.0",
"json-schema","0.4.0",
"json-schema","0.4.0",
"json-schema-traverse","0.4.1",
"json-schema-traverse","0.4.1",
"json-schema-traverse","1.0.0",
"json-stable-stringify-without-jsonify","1.0.1",
"json-stringify-safe","5.0.1",
"json-stringify-safe","5.0.1",
"json5","2.2.3",
"json5","2.2.3",
"jsonc-parser","3.2.0",
"jsonfile","4.0.0",
"jsonfile","6.1.0",
"jsonparse","1.3.1",
"jsonwebtoken","8.5.1",
"jsprim","1.4.2",
"jsprim","2.0.2",
"just-extend","4.2.1",
"jwa","1.4.1",
"jws","3.2.2",
"kareem","2.5.1",
"karma","6.4.2",
"karma-chrome-launcher","3.2.0",
"karma-coverage","2.2.1",
"karma-jasmine","5.1.0",
"karma-jasmine-html-reporter","2.1.0",
"karma-source-map-support","1.4.0",
"kind-of","3.2.2",
"kind-of","4.0.0",
"kind-of","5.1.0",
"kind-of","6.0.3",
"kind-of","6.0.3",
"kleur","3.0.3",
"klona","2.0.6",
"kuler","2.0.0",
"launch-editor","2.6.1",
"lazy-ass","1.6.0",
"left-pad","1.3.0",
"less","4.1.3",
"less-loader","11.1.0",
"leven","3.1.0",
"levn","0.3.0",
"license-webpack-plugin","4.0.2",
"lines-and-columns","1.2.4",
"listr2","3.14.0",
"ljharb/actions/node/matrix","main",
"ljharb/actions/node/matrix","main",
"ljharb/actions/node/matrix","main",
"ljharb/actions/node/matrix","main",
"ljharb/actions/node/matrix","main",
"ljharb/actions/node/matrix","main",
"ljharb/actions/node/run","main",
"ljharb/actions/node/run","main",
"ljharb/actions/node/run","main",
"ljharb/actions/node/run","main",
"ljharb/actions/node/run","main",
"ljharb/actions/node/run","main",
"ljharb/actions/node/run","main",
"ljharb/actions/node/run","main",
"ljharb/rebase","master",
"ljharb/rebase","master",
"ljharb/rebase","master",
"ljharb/require-allow-edits","main",
"ljharb/require-allow-edits","main",
"ljharb/require-allow-edits","main",
"load-json-file","4.0.0",
"loader-runner","4.3.0",
"loader-utils","2.0.4",
"loader-utils","3.2.1",
"locate-path","3.0.0",
"locate-path","5.0.0",
"locate-path","6.0.0",
"locate-path","7.2.0",
"lodash","4.17.21",
"lodash","4.17.21",
"lodash.debounce","4.0.8",
"lodash.includes","4.3.0",
"lodash.isboolean","3.0.3",
"lodash.isinteger","4.0.4",
"lodash.isnumber","3.0.3",
"lodash.isplainobject","4.0.6",
"lodash.isstring","4.0.1",
"lodash.memoize","4.1.2",
"lodash.once","4.1.1",
"lodash.once","4.1.1",
"lodash.set","4.3.2",
"lodash.sortby","4.7.0",
"lodash.unescape","4.0.1",
"log-symbols","4.1.0",
"log-symbols","4.1.0",
"log-update","4.0.0",
"log4js","6.9.1",
"logform","2.5.1",
"lolex","4.2.0",
"lolex","5.1.2",
"loose-envify","1.4.0",
"loupe","2.3.6",
"lru-cache","10.0.1",
"lru-cache","4.1.5",
"lru-cache","5.1.1",
"lru-cache","5.1.1",
"lru-cache","6.0.0",
"lru-cache","6.0.0",
"lru-cache","7.18.3",
"magic-string","0.30.1",
"mailgun-js","0.22.0",
"make-dir","2.1.0",
"make-dir","2.1.0",
"make-dir","4.0.0",
"make-error","1.3.6",
"make-fetch-happen","10.2.1",
"make-fetch-happen","11.1.1",
"makeerror","1.0.12",
"map-cache","0.2.2",
"map-visit","1.0.0",
"media-typer","0.3.0",
"media-typer","0.3.0",
"memfs","3.5.3",
"memory-pager","1.5.0",
"merge-descriptors","1.0.1",
"merge-descriptors","1.0.1",
"merge-stream","2.0.0",
"merge-stream","2.0.0",
"merge2","1.4.1",
"meshoptimizer","0.18.1",
"method-override","3.0.0",
"methods","1.1.2",
"methods","1.1.2",
"micromatch","3.1.10",
"micromatch","4.0.5",
"mime","1.6.0",
"mime","1.6.0",
"mime","2.6.0",
"mime-db","1.37.0",
"mime-db","1.51.0",
"mime-db","1.52.0",
"mime-types","2.1.34",
"mime-types","2.1.35",
"mimic-fn","1.2.0",
"mimic-fn","2.1.0",
"mimos","4.0.2",
"mini-css-extract-plugin","2.7.6",
"minimalistic-assert","1.0.1",
"minimatch","3.1.2",
"minimatch","3.1.2",
"minimatch","5.0.1",
"minimatch","5.1.6",
"minimatch","9.0.3",
"minimist","1.2.8",
"minimist","1.2.8",
"minipass","3.3.6",
"minipass","5.0.0",
"minipass","7.0.4",
"minipass-collect","1.0.2",
"minipass-fetch","2.1.2",
"minipass-fetch","3.0.4",
"minipass-flush","1.0.5",
"minipass-json-stream","1.0.1",
"minipass-pipeline","1.2.4",
"minipass-sized","1.0.3",
"minizlib","2.1.2",
"mixin-deep","1.3.2",
"mkdirp","0.5.5",
"mkdirp","0.5.6",
"mkdirp","1.0.4",
"mocha","10.2.0",
"moment","2.29.4",
"moment-timezone","0.5.43",
"mongodb","3.4.1",
"mongodb","4.17.1",
"mongodb-connection-string-url","2.6.0",
"mongoose","6.12.0",
"morgan","1.10.0",
"mpath","0.9.0",
"mquery","4.0.3",
"mrmime","1.0.1",
"ms","2.0.0",
"ms","2.0.0",
"ms","2.0.0",
"ms","2.1.2",
"ms","2.1.2",
"ms","2.1.3",
"ms","2.1.3",
"multicast-dns","7.2.5",
"mute-stream","0.0.7",
"mute-stream","0.0.8",
"my-first-angular-app","0.0.0",
"nan","2.18.0",
"nanoid","3.3.3",
"nanoid","3.3.6",
"nanomatch","1.2.13",
"natural-compare","1.4.0",
"needle","3.2.0",
"negotiator","0.6.2",
"negotiator","0.6.3",
"negotiator","0.6.3",
"neo-async","2.6.2",
"netmask","1.0.6",
"nice-napi","1.0.2",
"nice-try","1.0.5",
"nigel","3.0.4",
"nise","1.5.3",
"node-addon-api","1.7.2",
"node-addon-api","3.2.1",
"node-forge","1.3.1",
"node-gyp","9.4.1",
"node-gyp-build","4.6.1",
"node-int64","0.4.0",
"node-modules-regexp","1.0.0",
"node-notifier","5.4.5",
"node-releases","2.0.1",
"node-releases","2.0.13",
"nodemon","3.0.1",
"nopt","1.0.10",
"nopt","6.0.0",
"normalize-package-data","2.5.0",
"normalize-package-data","5.0.0",
"normalize-path","2.1.1",
"normalize-path","3.0.0",
"normalize-path","3.0.0",
"normalize-range","0.1.2",
"npm-bundled","3.0.0",
"npm-install-checks","6.3.0",
"npm-normalize-package-bin","3.0.1",
"npm-package-arg","10.1.0",
"npm-packlist","7.0.4",
"npm-pick-manifest","8.0.1",
"npm-registry-fetch","14.0.5",
"npm-run-path","2.0.2",
"npm-run-path","4.0.1",
"npmlog","6.0.2",
"nth-check","2.1.1",
"nwsapi","2.2.0",
"nwsapi","2.2.7",
"oauth-sign","0.9.0",
"object-assign","4.1.1",
"object-assign","4.1.1",
"object-copy","0.1.0",
"object-inspect","1.11.1",
"object-inspect","1.13.1",
"object-keys","1.1.1",
"object-path","0.11.8",
"object-visit","1.0.1",
"object.assign","4.1.2",
"object.getownpropertydescriptors","2.1.3",
"object.pick","1.3.0",
"obuf","1.1.2",
"on-finished","2.3.0",
"on-finished","2.3.0",
"on-finished","2.4.1",
"on-finished","2.4.1",
"on-headers","1.0.2",
"on-headers","1.0.2",
"once","1.4.0",
"once","1.4.0",
"one-time","1.0.0",
"onetime","2.0.1",
"onetime","5.1.2",
"open","8.4.2",
"optionator","0.8.3",
"ora","5.4.1",
"os-tmpdir","1.0.2",
"os-tmpdir","1.0.2",
"ospath","1.2.2",
"p-each-series","1.0.0",
"p-finally","1.0.0",
"p-limit","2.3.0",
"p-limit","2.3.0",
"p-limit","3.1.0",
"p-limit","4.0.0",
"p-locate","3.0.0",
"p-locate","4.1.0",
"p-locate","5.0.0",
"p-locate","6.0.0",
"p-map","4.0.0",
"p-reduce","1.0.0",
"p-retry","4.6.2",
"p-try","2.2.0",
"p-try","2.2.0",
"pac-proxy-agent","3.0.1",
"pac-resolver","3.0.0",
"pacote","15.2.0",
"pako","1.0.11",
"parent-module","1.0.1",
"parent-module","1.0.1",
"parse-json","4.0.0",
"parse-json","5.2.0",
"parse-node-version","1.0.1",
"parse5","4.0.0",
"parse5","6.0.1",
"parse5","7.1.2",
"parse5-html-rewriting-stream","7.0.0",
"parse5-sax-parser","7.0.0",
"parseurl","1.3.3",
"parseurl","1.3.3",
"pascalcase","0.1.1",
"path","0.11.14",
"path-exists","3.0.0",
"path-exists","4.0.0",
"path-exists","4.0.0",
"path-exists","5.0.0",
"path-is-absolute","1.0.1",
"path-is-absolute","1.0.1",
"path-is-inside","1.0.2",
"path-key","2.0.1",
"path-key","3.1.1",
"path-parse","1.0.7",
"path-parse","1.0.7",
"path-proxy","1.0.0",
"path-scurry","1.10.1",
"path-to-regexp","0.1.7",
"path-to-regexp","0.1.7",
"path-to-regexp","1.8.0",
"path-type","3.0.0",
"path-type","4.0.0",
"pathval","1.1.1",
"pend","1.2.0",
"performance-now","2.1.0",
"performance-now","2.1.0",
"pez","4.0.5",
"picocolors","1.0.0",
"picocolors","1.0.0",
"picomatch","2.3.1",
"picomatch","2.3.1",
"pify","2.3.0",
"pify","3.0.0",
"pify","4.0.1",
"pify","4.0.1",
"pirates","4.0.3",
"piscina","4.0.0",
"pkg-dir","3.0.0",
"pkg-dir","7.0.0",
"pn","1.1.0",
"podium","3.1.5",
"posix-character-classes","0.1.1",
"postcss","8.4.31",
"postcss-loader","7.3.3",
"postcss-modules-extract-imports","3.0.0",
"postcss-modules-local-by-default","4.0.3",
"postcss-modules-scope","3.0.0",
"postcss-modules-values","4.0.0",
"postcss-selector-parser","6.0.13",
"postcss-value-parser","4.2.0",
"prelude-ls","1.1.2",
"prettier","1.19.1",
"prettier-linter-helpers","1.0.0",
"pretty-bytes","5.6.0",
"pretty-format","24.9.0",
"proc-log","3.0.0",
"process","0.11.10",
"process-nextick-args","2.0.1",
"process-nextick-args","2.0.1",
"progress","2.0.3",
"promise-inflight","1.0.1",
"promise-retry","2.0.1",
"promisify-call","2.0.4",
"prompts","2.4.2",
"proxy-addr","2.0.7",
"proxy-addr","2.0.7",
"proxy-agent","3.1.1",
"proxy-from-env","1.0.0",
"proxy-from-env","1.1.0",
"prr","1.0.1",
"pseudomap","1.0.2",
"psl","1.8.0",
"psl","1.9.0",
"pstree.remy","1.1.8",
"pump","3.0.0",
"pump","3.0.0",
"punycode","2.1.1",
"punycode","2.3.1",
"qjobs","1.2.0",
"qs","6.10.4",
"qs","6.11.0",
"qs","6.11.0",
"qs","6.5.2",
"querystringify","2.2.0",
"queue-microtask","1.2.3",
"randombytes","2.1.0",
"randombytes","2.1.0",
"range-parser","1.2.1",
"range-parser","1.2.1",
"raw-body","2.4.0",
"raw-body","2.5.1",
"raw-body","2.5.1",
"raw-body","2.5.2",
"raw-body","2.5.2",
"react-is","16.13.1",
"read-package-json","6.0.4",
"read-package-json-fast","3.0.2",
"read-pkg","3.0.0",
"read-pkg-up","4.0.0",
"readable-stream","1.1.14",
"readable-stream","2.3.7",
"readable-stream","2.3.8",
"readable-stream","3.6.2",
"readable-stream","3.6.2",
"readdirp","3.6.0",
"readdirp","3.6.0",
"realpath-native","1.1.0",
"reflect-metadata","0.1.13",
"reflect-metadata","0.1.13",
"regenerate","1.4.2",
"regenerate-unicode-properties","10.1.1",
"regenerator-runtime","0.13.11",
"regenerator-transform","0.15.2",
"regex-not","1.0.2",
"regex-parser","2.2.11",
"regexpp","2.0.1",
"regexpu-core","5.3.2",
"regjsparser","0.9.1",
"remove-trailing-separator","1.1.0",
"repeat-element","1.1.4",
"repeat-string","1.6.1",
"request","2.88.2",
"request-progress","3.0.0",
"request-promise-core","1.1.4",
"request-promise-native","1.0.9",
"require-directory","2.1.1",
"require-directory","2.1.1",
"require-from-string","2.0.2",
"require-main-filename","2.0.0",
"require_optional","1.0.1",
"requires-port","1.0.0",
"resolve","1.1.7",
"resolve","1.20.0",
"resolve","1.22.2",
"resolve-cwd","2.0.0",
"resolve-from","2.0.0",
"resolve-from","3.0.0",
"resolve-from","4.0.0",
"resolve-from","4.0.0",
"resolve-from","5.0.0",
"resolve-url","0.2.1",
"resolve-url-loader","5.0.0",
"restore-cursor","2.0.0",
"restore-cursor","3.1.0",
"ret","0.1.15",
"retry","0.12.0",
"retry","0.13.1",
"reusify","1.0.4",
"rfdc","1.3.0",
"rimraf","2.6.3",
"rimraf","3.0.2",
"rollup","3.29.4",
"rsvp","4.8.5",
"run-async","2.4.1",
"run-async","2.4.1",
"run-parallel","1.2.0",
"rxjs","6.6.7",
"rxjs","7.8.1",
"safe-buffer","5.1.2",
"safe-buffer","5.1.2",
"safe-buffer","5.2.1",
"safe-buffer","5.2.1",
"safe-regex","1.1.0",
"safe-stable-stringify","2.4.3",
"safer-buffer","2.1.2",
"safer-buffer","2.1.2",
"sane","4.1.0",
"saslprep","1.0.3",
"sass","1.64.1",
"sass-loader","13.3.2",
"sax","1.2.4",
"sax","1.3.0",
"saxes","5.0.1",
"schema-utils","3.3.0",
"schema-utils","4.2.0",
"select-hose","2.0.0",
"selfsigned","2.4.1",
"semver","5.5.0",
"semver","5.7.1",
"semver","5.7.2",
"semver","6.3.1",
"semver","6.3.1",
"semver","7.5.4",
"semver","7.5.4",
"send","0.18.0",
"send","0.18.0",
"serialize-javascript","6.0.0",
"serialize-javascript","6.0.1",
"serve-index","1.9.1",
"serve-static","1.15.0",
"serve-static","1.15.0",
"set-blocking","2.0.0",
"set-blocking","2.0.0",
"set-function-length","1.1.1",
"set-value","2.0.1",
"setprototypeof","1.1.0",
"setprototypeof","1.1.1",
"setprototypeof","1.2.0",
"setprototypeof","1.2.0",
"shallow-clone","3.0.1",
"shallow-equal-object","1.1.1",
"shebang-command","1.2.0",
"shebang-command","2.0.0",
"shebang-regex","1.0.0",
"shebang-regex","3.0.0",
"shell-quote","1.8.1",
"shellwords","0.1.1",
"shot","4.0.7",
"side-channel","1.0.4",
"side-channel","1.0.4",
"sift","16.0.1",
"signal-exit","3.0.6",
"signal-exit","3.0.7",
"signal-exit","4.1.0",
"sigstore","1.9.0",
"simple-swizzle","0.2.2",
"simple-update-notifier","2.0.0",
"sinon","7.5.0",
"sinon-chai","3.7.0",
"sisteransi","1.0.5",
"slash","2.0.0",
"slash","4.0.0",
"slice-ansi","2.1.0",
"slice-ansi","3.0.0",
"slice-ansi","4.0.0",
"smart-buffer","4.2.0",
"smart-buffer","4.2.0",
"snapdragon","0.8.2",
"snapdragon-node","2.1.1",
"snapdragon-util","3.0.1",
"socket.io","4.7.2",
"socket.io-adapter","2.5.2",
"socket.io-parser","4.2.4",
"sockjs","0.3.24",
"socks","2.3.3",
"socks","2.7.1",
"socks","2.7.1",
"socks-proxy-agent","4.0.2",
"socks-proxy-agent","7.0.0",
"somever","2.0.0",
"source-map","0.5.7",
"source-map","0.6.1",
"source-map","0.6.1",
"source-map","0.7.4",
"source-map-js","1.0.2",
"source-map-loader","4.0.1",
"source-map-resolve","0.5.3",
"source-map-support","0.5.21",
"source-map-support","0.5.21",
"source-map-url","0.4.1",
"sparse-bitfield","3.0.3",
"spdx-correct","3.1.1",
"spdx-correct","3.2.0",
"spdx-exceptions","2.3.0",
"spdx-exceptions","2.3.0",
"spdx-expression-parse","3.0.1",
"spdx-expression-parse","3.0.1",
"spdx-license-ids","3.0.11",
"spdx-license-ids","3.0.16",
"spdy","4.0.2",
"spdy-transport","3.0.0",
"split-string","3.1.0",
"sprintf-js","1.0.3",
"sprintf-js","1.0.3",
"sshpk","1.16.1",
"sshpk","1.18.0",
"ssri","10.0.5",
"ssri","9.0.1",
"stack-trace","0.0.10",
"stack-utils","1.0.5",
"statehood","6.0.9",
"static-extend","0.1.2",
"statuses","1.5.0",
"statuses","1.5.0",
"statuses","2.0.1",
"statuses","2.0.1",
"stdlib","go1.20.6",
"stdlib","go1.20.6",
"stealthy-require","1.1.1",
"streamroller","3.1.5",
"string-length","2.0.0",
"string-width","2.1.1",
"string-width","3.1.0",
"string-width","4.2.3",
"string-width","4.2.3",
"string-width","5.1.2",
"string.prototype.trimend","1.0.4",
"string.prototype.trimstart","1.0.4",
"string_decoder","0.10.31",
"string_decoder","1.1.1",
"string_decoder","1.1.1",
"string_decoder","1.3.0",
"strip-ansi","4.0.0",
"strip-ansi","5.2.0",
"strip-ansi","6.0.1",
"strip-ansi","6.0.1",
"strip-ansi","7.1.0",
"strip-bom","3.0.0",
"strip-eof","1.0.0",
"strip-final-newline","2.0.0",
"strip-json-comments","2.0.1",
"strip-json-comments","3.1.1",
"strnum","1.0.5",
"subtext","6.0.12",
"supports-color","5.5.0",
"supports-color","5.5.0",
"supports-color","6.1.0",
"supports-color","7.2.0",
"supports-color","7.2.0",
"supports-color","8.1.1",
"supports-color","8.1.1",
"supports-preserve-symlinks-flag","1.0.0",
"symbol-observable","4.0.0",
"symbol-tree","3.2.4",
"symbol-tree","3.2.4",
"table","5.4.6",
"tapable","2.2.1",
"tar","6.2.0",
"teamwork","3.0.2",
"terser","5.19.2",
"terser-webpack-plugin","5.3.9",
"test-exclude","5.2.3",
"test-exclude","6.0.0",
"text-hex","1.0.0",
"text-table","0.2.0",
"text-table","0.2.0",
"three","0.158.0",
"throat","4.1.0",
"throttleit","1.0.1",
"through","2.3.8",
"through","2.3.8",
"thunkify","2.1.2",
"thunky","1.1.0",
"tmp","0.0.33",
"tmp","0.0.33",
"tmp","0.2.1",
"tmpl","1.0.5",
"to-fast-properties","2.0.0",
"to-fast-properties","2.0.0",
"to-object-path","0.3.0",
"to-regex","3.0.2",
"to-regex-range","2.1.1",
"to-regex-range","5.0.1",
"to-regex-range","5.0.1",
"toidentifier","1.0.0",
"toidentifier","1.0.1",
"toidentifier","1.0.1",
"topo","3.0.3",
"touch","3.1.0",
"tough-cookie","2.5.0",
"tough-cookie","4.1.3",
"tr46","1.0.1",
"tr46","2.1.0",
"tr46","3.0.0",
"tree-kill","1.2.2",
"triple-beam","1.4.1",
"ts-jest","24.3.0",
"ts-node","10.9.1",
"tslib","1.14.1",
"tslib","2.3.1",
"tslib","2.6.1",
"tslib","2.6.2",
"tslib","2.6.2",
"tslint","6.1.3",
"tsscmp","1.0.6",
"tsutils","2.29.0",
"tsutils","3.21.0",
"tuf-js","1.1.7",
"tunnel-agent","0.6.0",
"tunnel-agent","0.6.0",
"tweetnacl","0.14.5",
"tweetnacl","0.14.5",
"type-check","0.3.2",
"type-detect","4.0.8",
"type-fest","0.21.3",
"type-is","1.6.18",
"type-is","1.6.18",
"typed-assert","1.0.9",
"typedi","0.10.0",
"typescript","4.9.5",
"typescript","5.1.6",
"ua-parser-js","0.7.37",
"unbox-primitive","1.0.1",
"undefsafe","2.0.5",
"undici-types","5.26.5",
"unicode-canonical-property-names-ecmascript","2.0.0",
"unicode-match-property-ecmascript","2.0.0",
"unicode-match-property-value-ecmascript","2.1.0",
"unicode-property-aliases-ecmascript","2.1.0",
"union-value","1.0.1",
"unique-filename","2.0.1",
"unique-filename","3.0.0",
"unique-slug","3.0.0",
"unique-slug","4.0.0",
"universalify","0.1.2",
"universalify","0.2.0",
"universalify","2.0.1",
"unpipe","1.0.0",
"unpipe","1.0.0",
"unset-value","1.0.0",
"untildify","4.0.0",
"update-browserslist-db","1.0.13",
"uri-js","4.4.1",
"uri-js","4.4.1",
"urix","0.1.0",
"url-parse","1.5.10",
"use","3.1.1",
"util-deprecate","1.0.2",
"util-deprecate","1.0.2",
"util.promisify","1.1.1",
"utils-merge","1.0.1",
"utils-merge","1.0.1",
"uuid","3.4.0",
"uuid","8.3.2",
"uuid","8.3.2",
"v8-compile-cache-lib","3.0.1",
"validate-npm-package-license","3.0.4",
"validate-npm-package-license","3.0.4",
"validate-npm-package-name","5.0.0",
"vary","1.1.2",
"vary","1.1.2",
"verror","1.10.0",
"verror","1.10.0",
"vise","3.0.1",
"vite","4.4.7",
"void-elements","2.0.1",
"w3c-hr-time","1.0.2",
"w3c-hr-time","1.0.2",
"w3c-xmlserializer","2.0.0",
"walker","1.0.8",
"watchpack","2.4.0",
"wbuf","1.7.3",
"wcwidth","1.0.1",
"webidl-conversions","4.0.2",
"webidl-conversions","5.0.0",
"webidl-conversions","6.1.0",
"webidl-conversions","7.0.0",
"webpack","5.88.2",
"webpack-dev-middleware","5.3.3",
"webpack-dev-middleware","6.1.1",
"webpack-dev-server","4.15.1",
"webpack-merge","5.9.0",
"webpack-sources","3.2.3",
"webpack-subresource-integrity","5.1.0",
"websocket-driver","0.7.4",
"websocket-extensions","0.1.4",
"whatwg-encoding","1.0.5",
"whatwg-encoding","1.0.5",
"whatwg-mimetype","2.3.0",
"whatwg-mimetype","2.3.0",
"whatwg-url","11.0.0",
"whatwg-url","6.5.0",
"whatwg-url","7.1.0",
"whatwg-url","8.7.0",
"which","1.3.1",
"which","1.3.1",
"which","2.0.2",
"which","3.0.1",
"which-boxed-primitive","1.0.2",
"which-module","2.0.0",
"wide-align","1.1.5",
"wildcard","2.0.1",
"winston","3.10.0",
"winston-transport","4.5.0",
"with-callback","1.0.2",
"word-wrap","1.2.5",
"workerpool","6.2.1",
"wrap-ansi","5.1.0",
"wrap-ansi","6.2.0",
"wrap-ansi","7.0.0",
"wrap-ansi","7.0.0",
"wrap-ansi","8.1.0",
"wrappy","1.0.2",
"wrappy","1.0.2",
"wreck","14.1.3",
"write","1.0.3",
"write-file-atomic","2.4.1",
"ws","5.2.3",
"ws","7.5.9",
"ws","8.11.0",
"ws","8.14.2",
"xml-name-validator","3.0.0",
"xml-name-validator","3.0.0",
"xmlchars","2.2.0",
"xregexp","2.0.0",
"y18n","4.0.3",
"y18n","5.0.8",
"y18n","5.0.8",
"yallist","2.1.2",
"yallist","3.1.1",
"yallist","3.1.1",
"yallist","4.0.0",
"yallist","4.0.0",
"yargs","13.3.2",
"yargs","16.2.0",
"yargs","16.2.0",
"yargs","17.7.2",
"yargs-parser","10.1.0",
"yargs-parser","13.1.2",
"yargs-parser","20.2.4",
"yargs-parser","20.2.9",
"yargs-parser","21.1.1",
"yargs-unparser","2.0.0",
"yauzl","2.10.0",
"yn","3.1.1",
"yocto-queue","0.1.0",
"yocto-queue","1.0.0",
"zone.js","0.13.3",
